n_members,force,angle,collision_time,bounces,final_height
8,50.0,5.0,0.01,0,0.4
8,50.0,5.0,0.020000000000000004,0,0.4
8,50.0,5.0,0.030000000000000006,91,0.535225385763952
8,50.0,5.0,0.04000000000000001,67,0.975473490271509
8,50.0,5.0,0.05000000000000001,54,1.541546192690601
8,50.0,5.0,0.06000000000000001,45,2.2352610530229953
8,50.0,5.0,0.07,38,3.043537112654086
8,50.0,5.0,0.08,34,3.971543905082412
8,50.0,5.0,0.09000000000000001,30,5.0014384566614485
8,50.0,5.0,0.1,27,6.398200781368956
8,50.0,7.777777777777778,0.01,0,0.4
8,50.0,7.777777777777778,0.020000000000000004,0,0.4
8,50.0,7.777777777777778,0.030000000000000006,92,0.5184748976697918
8,50.0,7.777777777777778,0.04000000000000001,68,0.9584073488570365
8,50.0,7.777777777777778,0.05000000000000001,54,1.5244054853365752
8,50.0,7.777777777777778,0.06000000000000001,45,2.2174920049439555
8,50.0,7.777777777777778,0.07,39,3.0398482998738166
8,50.0,7.777777777777778,0.08,34,3.958073044683
8,50.0,7.777777777777778,0.09000000000000001,30,4.991636808581955
8,50.0,7.777777777777778,0.1,27,6.368256805450122
8,50.0,10.555555555555555,0.01,0,0.4
8,50.0,10.555555555555555,0.020000000000000004,0,0.4
8,50.0,10.555555555555555,0.030000000000000006,94,0.502138534941623
8,50.0,10.555555555555555,0.04000000000000001,69,0.9416306664655311
8,50.0,10.555555555555555,0.05000000000000001,54,1.5074560367788894
8,50.0,10.555555555555555,0.06000000000000001,45,2.200075340252688
8,50.0,10.555555555555555,0.07,39,3.021465188588531
8,50.0,10.555555555555555,0.08,34,3.9440900839145367
8,50.0,10.555555555555555,0.09000000000000001,30,4.980994162775199
8,50.0,10.555555555555555,0.1,27,6.339774057721143
8,50.0,13.333333333333332,0.01,0,0.4
8,50.0,13.333333333333332,0.020000000000000004,0,0.4
8,50.0,13.333333333333332,0.030000000000000006,95,0.48624541595952453
8,50.0,13.333333333333332,0.04000000000000001,69,0.9251726944674575
8,50.0,13.333333333333332,0.05000000000000001,55,1.490784822239357
8,50.0,13.333333333333332,0.06000000000000001,45,2.182994735636285
8,50.0,13.333333333333332,0.07,39,3.0035786357867136
8,50.0,13.333333333333332,0.08,34,3.9297521872199566
8,50.0,13.333333333333332,0.09000000000000001,30,4.9696816552108825
8,50.0,13.333333333333332,0.1,27,6.312651469829139
8,50.0,16.11111111111111,0.01,0,0.4
8,50.0,16.11111111111111,0.020000000000000004,0,0.4
8,50.0,16.11111111111111,0.030000000000000006,97,0.4708217376666356
8,50.0,16.11111111111111,0.04000000000000001,70,0.9090672626683223
8,50.0,16.11111111111111,0.05000000000000001,55,1.474352683840204
8,50.0,16.11111111111111,0.06000000000000001,45,2.1662514501827728
8,50.0,16.11111111111111,0.07,39,2.986157961755824
8,50.0,16.11111111111111,0.08,34,3.9151947740808977
8,50.0,16.11111111111111,0.09000000000000001,30,4.957851886872466
8,50.0,16.11111111111111,0.1,27,6.286803511099904
8,50.0,18.88888888888889,0.01,0,0.4
8,50.0,18.88888888888889,0.020000000000000004,0,0.4
8,50.0,18.88888888888889,0.030000000000000006,98,0.45589083644012274
8,50.0,18.88888888888889,0.04000000000000001,70,0.8933453287426553
8,50.0,18.88888888888889,0.05000000000000001,55,1.458255476300686
8,50.0,18.88888888888889,0.06000000000000001,46,2.1494722777066397
8,50.0,18.88888888888889,0.07,39,2.969188249556534
8,50.0,18.88888888888889,0.08,34,3.9005352810248644
8,50.0,18.88888888888889,0.09000000000000001,30,4.945641464459017
8,50.0,18.88888888888889,0.1,27,6.262157846502992
8,50.0,21.666666666666664,0.01,0,0.4
8,50.0,21.666666666666664,0.020000000000000004,0,0.4
8,50.0,21.666666666666664,0.030000000000000006,100,0.4414732699204111
8,50.0,21.666666666666664,0.04000000000000001,71,0.8780359157303719
8,50.0,21.666666666666664,0.05000000000000001,56,1.4425205082434425
8,50.0,21.666666666666664,0.06000000000000001,46,2.133567268313064
8,50.0,21.666666666666664,0.07,39,2.9526661805051395
8,50.0,21.666666666666664,0.08,34,3.885876168523825
8,50.0,21.666666666666664,0.09000000000000001,30,4.933173057408266
8,50.0,21.666666666666664,0.1,27,6.238653472108119
8,50.0,24.444444444444443,0.01,0,0.4
8,50.0,24.444444444444443,0.020000000000000004,0,0.4
8,50.0,24.444444444444443,0.030000000000000006,102,0.4275869172249997
8,50.0,24.444444444444443,0.04000000000000001,72,0.8631662356665843
8,50.0,24.444444444444443,0.05000000000000001,56,1.4271877425936124
8,50.0,24.444444444444443,0.06000000000000001,46,2.1180159129203173
8,50.0,24.444444444444443,0.07,39,2.9365968949883494
8,50.0,24.444444444444443,0.08,34,3.8713073517642536
8,50.0,24.444444444444443,0.09000000000000001,30,4.920557100954509
8,50.0,24.444444444444443,0.1,27,6.21623918756578
8,50.0,27.22222222222222,0.01,0,0.4
8,50.0,27.22222222222222,0.020000000000000004,0,0.4
